"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2025","92,195.0","94,259.8","96,002.7","91,327.8","109.89K","-2.19%"
"11/16/2025","94,259.8","95,587.6","96,575.1","93,043.5","68.24K","-1.39%"
"11/15/2025","95,587.6","94,557.5","96,799.5","94,557.5","48.15K","1.09%"
"11/14/2025","94,554.3","99,707.0","99,843.9","94,126.2","131.30K","-5.19%"
"11/13/2025","99,728.7","101,652.8","104,008.7","98,027.4","100.44K","-1.90%"
"11/12/2025","101,658.3","103,046.7","105,309.1","100,858.0","63.52K","-1.35%"
"11/11/2025","103,046.7","106,003.2","107,461.3","102,484.3","73.04K","-2.79%"
"11/10/2025","106,006.9","104,720.8","106,629.5","104,285.0","70.75K","1.23%"
"11/09/2025","104,722.4","102,311.3","105,409.1","101,469.1","51.64K","2.36%"
"11/08/2025","102,311.1","103,326.4","103,397.6","101,474.0","41.41K","-0.98%"
"11/07/2025","103,325.4","101,330.3","104,067.9","99,290.8","94.27K","1.97%"
"11/06/2025","101,325.7","103,893.0","104,160.7","100,350.9","78.43K","-2.47%"
"11/05/2025","103,896.7","101,500.8","104,534.3","99,010.6","98.50K","2.36%"
"11/04/2025","101,504.3","106,584.3","107,293.1","99,001.8","134.18K","-4.76%"
"11/03/2025","106,578.1","110,566.9","110,736.3","105,331.7","85.37K","-3.62%"
"11/02/2025","110,586.6","110,097.1","111,229.8","109,537.0","41.82K","0.44%"
"11/01/2025","110,103.6","109,602.7","110,534.6","109,406.7","27.13K","0.46%"
"10/31/2025","109,602.8","108,319.5","111,102.2","108,319.5","68.61K","1.18%"
"10/30/2025","108,320.1","110,024.9","111,585.8","106,371.4","80.07K","-1.55%"
"10/29/2025","110,024.6","112,904.7","113,628.7","109,506.4","66.99K","-2.55%"
"10/28/2025","112,905.8","114,110.3","116,076.7","112,266.9","52.49K","-1.05%"
"10/27/2025","114,108.0","114,553.9","116,307.5","113,868.0","70.79K","-0.39%"
"10/26/2025","114,550.9","111,646.0","115,153.9","111,261.9","42.74K","2.60%"
"10/25/2025","111,646.1","111,012.4","111,921.3","110,702.1","23.30K","0.57%"
"10/24/2025","111,013.1","110,078.9","111,966.0","109,776.0","51.79K","0.85%"
"10/23/2025","110,078.9","107,587.5","111,285.9","107,518.9","59.44K","2.32%"
"10/22/2025","107,587.5","108,336.4","109,081.5","106,746.2","86.97K","-0.70%"
"10/21/2025","108,340.9","110,544.0","113,971.6","107,491.1","108.22K","-1.99%"
"10/20/2025","110,544.0","108,656.3","111,677.2","107,443.1","64.94K","1.74%"
"10/19/2025","108,658.2","107,189.9","109,456.1","106,134.9","52.65K","1.37%"
"10/18/2025","107,193.5","106,469.4","107,489.0","106,356.9","40.28K","0.70%"
"10/17/2025","106,443.5","108,205.5","109,232.3","103,632.7","106.66K","-1.63%"
"10/16/2025","108,204.8","110,767.4","111,960.2","107,549.1","92.62K","-2.31%"
"10/15/2025","110,767.4","113,029.8","113,611.9","110,206.4","72.25K","-2.00%"
"10/14/2025","113,030.8","115,174.8","115,400.6","109,948.0","95.33K","-1.86%"
"10/13/2025","115,174.8","114,985.9","115,893.1","113,802.1","71.35K","0.16%"
"10/12/2025","114,986.0","110,670.9","115,733.9","109,612.8","93.16K","3.90%"
"10/11/2025","110,671.5","112,878.0","113,315.0","109,677.7","107.25K","-1.96%"
"10/10/2025","112,878.6","121,666.6","122,492.8","103,893.3","153.63K","-7.22%"
"10/09/2025","121,666.3","123,337.6","123,710.9","119,732.7","67.35K","-1.33%"
"10/08/2025","123,311.1","121,356.7","124,139.3","121,086.1","57.67K","1.61%"
"10/07/2025","121,356.6","124,687.5","125,112.9","120,624.3","70.42K","-2.70%"
"10/06/2025","124,725.1","123,475.5","126,186.0","123,144.6","68.95K","1.01%"
"10/05/2025","123,475.5","122,387.1","125,617.4","122,146.2","66.03K","0.89%"
"10/04/2025","122,387.1","122,224.8","122,810.6","121,530.5","31.34K","0.13%"
"10/03/2025","122,224.2","120,566.1","123,889.8","119,272.6","81.43K","1.38%"
"10/02/2025","120,566.1","118,577.1","121,023.0","118,318.1","69.08K","1.68%"
"10/01/2025","118,576.2","114,048.7","118,634.5","113,970.5","69.15K","3.97%"
"09/30/2025","114,048.5","114,355.4","114,776.2","112,672.5","53.07K","-0.27%"
"09/29/2025","114,357.5","112,177.4","114,412.5","111,571.1","55.53K","1.95%"
"09/28/2025","112,174.6","109,652.8","112,355.8","109,213.5","28.91K","2.30%"
"09/27/2025","109,652.8","109,662.2","109,734.3","109,090.8","22.46K","-0.01%"
"09/26/2025","109,662.2","109,012.4","110,299.1","108,673.0","54.26K","0.59%"
"09/25/2025","109,016.3","113,307.1","113,508.6","108,675.3","69.14K","-3.79%"
"09/24/2025","113,307.1","112,002.9","113,951.0","111,212.0","43.29K","1.16%"
"09/23/2025","112,002.6","112,673.0","113,279.9","111,501.9","44.21K","-0.60%"
"09/22/2025","112,673.0","115,243.3","115,382.7","111,964.9","67.57K","-2.23%"
