Date,Open,High,Low,Close,Volume,Market Cap
2020-04-19,7038.544102,7258.392591,7038.544102,7233.157423,24783424487.0,131000000000.0
2020-04-20,7238.814,7238.814,7084.171816,7133.148679,25713381020.0,131000000000.0
2020-04-21,7130.802846,7193.471506,6802.728636,6856.785953,26956989051.0,129000000000.0
2020-04-22,6850.014587,6909.394476,6793.922255,6851.005362,29393938160.0,126000000000.0
2020-04-23,6848.632955,7127.934459,6828.232224,7106.551177,24916975279.0,128000000000.0
2020-04-24,7114.279113,7612.469033,7043.728866,7464.891127,30103580671.0,134000000000.0
2020-04-25,7470.507761,7584.586417,7430.217502,7497.353393,31706852571.0,138000000000.0
2020-04-26,7499.599962,7600.653706,7452.971185,7535.263897,25858610306.0,138000000000.0
2020-04-27,7536.121952,7667.006245,7529.539217,7665.828318,24111822560.0,139000000000.0
2020-04-28,7676.112824,7766.689761,7651.244534,7766.689761,27154195068.0,141000000000.0
2020-04-29,7772.739892,7772.739892,7668.774697,7754.222426,25836558088.0,142000000000.0
2020-04-30,7747.510263,8878.881234,7731.959973,8759.78919,34278610731.0,151000000000.0
2020-05-01,8756.427416,9425.798394,8476.196338,8607.329832,56288690521.0,163000000000.0
2020-05-02,8629.225398,9025.379732,8629.225398,8832.981251,43425802328.0,161000000000.0
2020-05-03,8822.562075,8992.528435,8778.174811,8974.922892,34889762274.0,163000000000.0
2020-05-04,8973.683542,9157.860151,8765.817978,8894.362675,36776322130.0,165000000000.0
2020-05-05,8895.401328,8933.90522,8571.361768,8883.306781,35712348408.0,161000000000.0
2020-05-06,8876.401349,9060.014739,8826.544715,8967.997704,34606031419.0,164000000000.0
2020-05-07,9013.045881,9353.209747,8936.688924,9198.252701,37332792656.0,168000000000.0
2020-05-08,9170.342931,9985.692229,9086.608456,9968.105282,44195883978.0,174000000000.0
2020-05-09,9943.631675,9995.180687,9753.752318,9822.885629,50787616034.0,182000000000.0
2020-05-10,9814.400817,9900.431521,9559.705894,9570.005988,36759061346.0,179000000000.0
2020-05-11,9554.216377,9554.216377,8388.959555,8745.152545,49096426545.0,160000000000.0
2020-05-12,8747.339336,9108.0357,8303.339059,8593.856494,43551499512.0,160000000000.0
2020-05-13,8583.604045,8940.956452,8566.733028,8792.063768,44269698683.0,161000000000.0
2020-05-14,8804.984468,9363.647602,8804.984468,9302.896541,34610987893.0,166000000000.0
2020-05-15,9298.001842,9836.468003,9273.449891,9772.561576,44963754585.0,176000000000.0
2020-05-16,9772.438557,9803.130232,9240.452877,9293.972171,44345543412.0,175000000000.0
2020-05-17,9307.561702,9556.384606,9235.124285,9380.484219,35516301774.0,173000000000.0
2020-05-18,9383.519751,9835.576125,9349.102059,9667.578397,31980216369.0,177000000000.0
2020-05-19,9672.109016,9901.963053,9563.109966,9733.739137,36680111315.0,179000000000.0
2020-05-20,9724.567636,9852.625432,9518.785994,9761.178765,33953354777.0,178000000000.0
2020-05-21,9769.895545,9805.300343,9441.170646,9524.434064,31304878616.0,178000000000.0
2020-05-22,9519.329841,9558.120911,8859.743096,9073.693079,33726116883.0,171000000000.0
2020-05-23,9059.871784,9244.4595,8973.510051,9160.70542,33446538581.0,168000000000.0
2020-05-24,9167.548507,9294.044722,9114.398031,9180.527997,26003317556.0,169000000000.0
2020-05-25,9178.757642,9278.961893,8791.793685,8791.793685,25780142755.0,168000000000.0
2020-05-26,8765.90039,8944.683018,8708.154358,8897.213209,32589017641.0,162000000000.0
2020-05-27,8894.327429,8985.206386,8745.730775,8850.3542,29122854004.0,163000000000.0
2020-05-28,8855.989829,9189.868583,8846.784743,9165.144674,29023731427.0,166000000000.0
2020-05-29,9177.54917,9566.465329,9123.65167,9536.159369,31339127072.0,171000000000.0
2020-05-30,9540.936504,9558.557224,9374.994596,9418.13384,34433975805.0,174000000000.0
2020-05-31,9415.670495,9708.464046,9351.301217,9693.552427,30240847831.0,175000000000.0
2020-06-01,9694.273435,9694.273435,9420.259757,9449.860914,30164673989.0,176000000000.0
2020-06-02,9454.105517,10232.61774,9433.579202,10177.77035,27483501151.0,176000000000.0
2020-06-03,10167.40272,10174.00038,9396.444267,9538.727853,40117755690.0,182000000000.0
2020-06-04,9542.709507,9652.629014,9454.878678,9652.629014,30774114397.0,176000000000.0
2020-06-05,9654.855411,9854.888472,9506.048535,9803.990306,24537394171.0,178000000000.0
2020-06-06,9793.271322,9836.166994,9641.720671,9641.917175,25839305932.0,179000000000.0
2020-06-07,9636.570305,9723.004459,9568.15488,9662.323105,21994182984.0,177000000000.0
2020-06-08,9661.568388,9769.288375,9456.736415,9742.573822,19781866056.0,177000000000.0
2020-06-09,9747.856807,9778.403103,9667.039257,9773.301577,24804583215.0,179000000000.0
2020-06-10,9774.133918,9841.159197,9657.177238,9769.869088,22201874671.0,179000000000.0
2020-06-11,9771.820949,9966.962941,9716.219497,9864.561413,21335294208.0,180000000000.0
2020-06-12,9864.195678,9924.656934,9257.352855,9314.37816,28078869433.0,178000000000.0
2020-06-13,9304.399497,9538.688428,9263.997892,9460.375485,28635953788.0,173000000000.0
2020-06-14,9464.718261,9472.851521,9378.910664,9463.820529,18853236922.0,174000000000.0
2020-06-15,9470.194859,9470.194859,9295.788822,9352.845602,15802769087.0,173000000000.0
2020-06-16,9352.512538,9485.445505,8960.66705,9421.65218,24311638546.0,170000000000.0
2020-06-17,9422.305416,9566.212937,9381.984434,9520.484681,24399990285.0,175000000000.0
2020-06-18,9522.880924,9540.093921,9309.953064,9463.405493,18609541664.0,174000000000.0
2020-06-19,9461.519582,9461.908823,9302.884494,9401.552893,18874354829.0,173000000000.0
2020-06-20,9393.868925,9412.352789,9263.216635,9305.901805,19527343337.0,172000000000.0
2020-06-21,9316.226996,9373.053282,9252.759373,9348.977142,17932871013.0,171000000000.0
2020-06-22,9351.832,9449.308884,9289.8938,9289.8938,15448764610.0,172000000000.0
2020-06-23,9295.515457,9697.17513,9290.806476,9685.845287,16669106172.0,175000000000.0
2020-06-24,9683.933632,9712.302931,9586.803715,9614.943606,19667576807.0,177000000000.0
2020-06-25,9619.310236,9664.023908,9242.954368,9289.303605,18027557224.0,174000000000.0
2020-06-26,9302.941246,9324.516686,9066.601837,9254.748296,21449477390.0,170000000000.0
2020-06-27,9253.790442,9290.336556,9075.259418,9165.503578,18745051956.0,169000000000.0
2020-06-28,9162.617899,9191.410748,8942.42619,9014.224272,16646055897.0,168000000000.0
2020-06-29,9014.405433,9178.957416,8961.236007,9118.117533,16823321855.0,167000000000.0
2020-06-30,9126.119999,9219.392814,9042.933317,9180.159026,14838631119.0,168000000000.0
2020-07-01,9179.411116,9190.720681,9076.059608,9145.560607,15421116289.0,169000000000.0
2020-07-02,9136.040257,9283.111145,9102.358834,9225.668161,15043273940.0,169000000000.0
2020-07-03,9228.082821,9253.257937,8991.466116,9084.054479,16368750495.0,169000000000.0
2020-07-04,9081.573979,9117.536881,9059.787936,9065.577985,16093715203.0,167000000000.0
2020-07-05,9069.815386,9178.1391,9053.808489,9127.518467,12619370983.0,167000000000.0
2020-07-06,9131.495458,9137.447369,8957.5603,9072.772592,12978699503.0,167000000000.0
2020-07-07,9077.942345,9342.540316,9053.655688,9342.540316,16794093512.0,170000000000.0
2020-07-08,9339.715306,9363.358154,9220.037597,9252.35518,17246307334.0,171000000000.0
2020-07-09,9257.371172,9453.376947,9241.34023,9420.350155,16333234232.0,172000000000.0
2020-07-10,9428.606014,9429.390147,9201.801168,9240.366176,17978271912.0,172000000000.0
2020-07-11,9239.746148,9288.71267,9141.271506,9278.447734,16354705418.0,170000000000.0
2020-07-12,9276.580057,9283.619996,9195.588709,9231.3201,13061147820.0,170000000000.0
2020-07-13,9230.979937,9313.256344,9187.861567,9286.726085,11952544232.0,170000000000.0
2020-07-14,9297.137398,9320.456358,9217.609515,9247.107825,14936740774.0,171000000000.0
2020-07-15,9242.639687,9273.110343,9155.100178,9254.204474,16272167656.0,170000000000.0
2020-07-16,9253.721451,9269.704971,9182.048444,9206.764838,14662526150.0,170000000000.0
2020-07-17,9200.648755,9220.828575,9058.920622,9137.239203,16582669315.0,169000000000.0
2020-07-18,9135.106244,9176.80158,9094.505948,9155.773355,15270491656.0,168000000000.0
2020-07-19,9156.427377,9196.230068,9129.375055,9170.802681,12785910296.0,169000000000.0
2020-07-20,9169.952206,9213.285054,9119.533813,9207.816996,11947063843.0,169000000000.0
2020-07-21,9207.29326,9212.380926,9151.486581,9164.069789,13940188804.0,169000000000.0
2020-07-22,9162.179688,9419.40045,9160.240988,9385.174346,18926176905.0,171000000000.0
2020-07-23,9384.63728,9524.321572,9306.723329,9518.901022,19256793736.0,173000000000.0
2020-07-24,9523.658037,9627.169019,9474.580562,9592.963304,23101832608.0,176000000000.0
2020-07-25,9600.61154,9629.070858,9477.722155,9545.046629,22466772027.0,176000000000.0
2020-07-26,9547.494177,9716.605724,9534.582156,9686.120716,21037125904.0,177000000000.0
2020-07-27,9697.515159,10073.2253,9652.913998,9917.359474,28010517869.0,181000000000.0
2020-07-28,9921.922095,11339.80296,9920.003523,10996.5366,42213334217.0,192000000000.0
2020-07-29,11016.82397,11204.30926,10644.9739,10895.73396,63042796645.0,202000000000.0
2020-07-30,10905.32826,11282.25087,10839.39092,11073.29788,39989495153.0,204000000000.0
